"X.timestamp";"MetricName";"Tag_EventHandlerInstance";"Tag_EventHandlerName";"Tag_MC.TrackingId";"Tag_StreamTypeName";"Tag_Type"
"May 20, 2021 @ 12:19:11.640";"Event";"Gs.ViewProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.640";"Event";"InputGbrtnsMtPlchldrs.InputGbrtnsMtPlchldrsProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnProcessManager";"Magazijn.Sync_Event"
"May 20, 2021 @ 12:19:11.631";"Event";"PlayerOnbekendRollen.PlayerOnbekendRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"OnbekendRollen.OnbekendRollenAggregateRoot";"OnbekendRollen.OnbekendRollenApply_Event"
"May 20, 2021 @ 12:19:11.631";"Event";"Magazijn.MagazijnSyncRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnChanged_Event"
"May 20, 2021 @ 12:19:11.631";"Event";"Magazijn.MagazijnProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnChanged_Event"
"May 20, 2021 @ 12:19:11.630";"Event";"Signal.SignalProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Signal.SignalResolved_Event"
"May 20, 2021 @ 12:19:11.621";"Event";"Magazijn.MagazijnRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"8556923113d94d38a6a4c98167496d16";"OnbekendRollen.OnbekendRollenAggregateRoot";"Magazijn.OnbekendRollenCreatedForMagazijn_Event"
"May 20, 2021 @ 12:19:11.590";"Event";"OnbekendRollen.OnbekendRollenRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnCreatedForOnbekendRollen_Event"
"May 20, 2021 @ 12:19:11.590";"Event";"PlayerOnbekendRollen.PlayerOnbekendRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"52d812eea13442f1ba832e8a8feab320";"OnbekendRollen.OnbekendRollenAggregateRoot";"OnbekendRollen.OnbekendRollenPlayerApply_Event"
"May 20, 2021 @ 12:19:11.584";"Event";"Magazijn.MagazijnProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnCreated_Event"
"May 20, 2021 @ 12:19:11.584";"Event";"Magazijn.MagazijnSyncRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"8556923113d94d38a6a4c98167496d16";"Magazijn.MagazijnAggregateRoot";"Magazijn.MagazijnCreated_Event"
"May 20, 2021 @ 12:19:11.574";"Event";"OnbekendRollen.OnbekendRollenRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"52d812eea13442f1ba832e8a8feab320";"Onbekend.OnbekendProcessManager";"Onbekend.Sync_Event"
"May 20, 2021 @ 12:19:11.560";"Event";"Onbekend.OnbekendSyncRouter";"Afas.Runtime.Command.Standard.DynamicStreamItemRouter, Afas.Runtime.Command";"52d812eea13442f1ba832e8a8feab320";"Onbekend.OnbekendAggregateRoot";"Onbekend.OnbekendCreated_Event"
"May 20, 2021 @ 12:19:11.560";"Event";"Onbekend.OnbekendProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"52d812eea13442f1ba832e8a8feab320";"Onbekend.OnbekendAggregateRoot";"Onbekend.OnbekendCreated_Event"
