"X.timestamp";"MetricName";"Tag_EventHandlerInstance";"Tag_EventHandlerName";"Tag_MC.TrackingId";"Tag_StreamTypeName";"Tag_Type"
"May 20, 2021 @ 09:15:05.561";"Event";"Aanmaning.AanmaningProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.552";"Event";"InputKlacht.InputKlachtProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.551";"Event";"Klacht.KlachtProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.545";"Event";"PlayerOrganisatieRollen.PlayerOrganisatieRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.545";"Event";"Aanmaning.AanmaningProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.544";"Event";"PlayerOrganisatieRollen.PlayerOrganisatieRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Betaler.BetalerProcessManager";"Betaler.Sync_Event"
"May 20, 2021 @ 09:15:05.542";"Event";"GbrtnsMtPlchldrs.GbrtnsMtPlchldrsProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.540";"Event";"Settings.Verkooporder_Klant_KortingProcessingProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.535";"Event";"GbrtnsMtExtns.GbrtnsMtExtnsProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.534";"Event";"KlantDC.KlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
