source;target;message;trackingid;nothing
bank-service;balance-service;withdrawalRequest;id-1626699160501;1626699160506
atm-terminal;terminal-proxy;authenticationRequest;id-1626699161570;1626699161570
terminal-proxy;bank-service;authenticationRequest;id-1626699161570;1626699161573
bank-service;auth-server;autenticationRequest;id-1626699161570;1626699161575
atm-terminal;bank-service;depositRequest;id-1626699163781;1626699163781
bank-service;balance-service;depositRequest;id-1626699163781;1626699163784
atm-terminal;bank-service;checkBalance;id-1626699164203;1626699164203
bank-service;balance-service;checkBalance;id-1626699164203;1626699164207
atm-terminal;bank-service;withdrawalRequest;id-1626699165713;1626699165713
bank-service;balance-service;withdrawalRequest;id-1626699165713;1626699165716
atm-terminal;terminal-proxy;withdrawalRequest;id-1626699167752;1626699167752
terminal-proxy;bank-service;withdrawalRequest;id-1626699167752;1626699167755
bank-service;balance-service;withdrawalRequest;id-1626699167752;1626699167757
atm-terminal;bank-service;printReceipt;id-1626699168865;1626699168865atm-terminal;bank-service;checkBalance;id-1626702858194;1626702858194
bank-service;balance-service;checkBalance;id-1626702858194;1626702858204
atm-terminal;bank-service;checkBalance;id-1626702858961;1626702858961
bank-service;balance-service;checkBalance;id-1626702858961;1626702858964
atm-terminal;bank-service;checkBalance;id-1626702861753;1626702861753
bank-service;balance-service;checkBalance;id-1626702861753;1626702861757
atm-terminal;bank-service;authenticationRequest;id-1626702863865;1626702863865
bank-service;auth-server;autenticationRequest;id-1626702863865;1626702863868
atm-terminal;terminal-proxy;authenticationRequest;id-1626702873210;1626702873210
terminal-proxy;bank-service;authenticationRequest;id-1626702873210;1626702873618
bank-service;auth-server;autenticationRequest;id-1626702873210;1626702873624
