source;target;message;trackingID;unknown
atm-terminal;terminal-proxy;authenticationRequest;id-1626254356502;1626254356502
terminal-proxy;bank-service;authenticationRequest;id-1626254356502;1626254356506
bank-service;auth-server;autenticationRequest;id-1626254356502;1626254356508
atm-terminal;terminal-proxy;authenticationRequest;id-1626254357462;1626254357462
terminal-proxy;bank-service;authenticationRequest;id-1626254357462;1626254357466
bank-service;auth-server;autenticationRequest;id-1626254357462;1626254357469
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254358860;1626254358860
terminal-proxy;bank-service;withdrawalRequest;id-1626254358860;1626254358863
bank-service;balance-service;withdrawalRequest;id-1626254358860;1626254358865
atm-terminal;terminal-proxy;depositRequest;id-1626254360524;1626254360524
terminal-proxy;bank-service;depositRequest;id-1626254360524;1626254360527
bank-service;balance-service;depositRequest;id-1626254360524;1626254360529
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254361540;1626254361540
terminal-proxy;bank-service;withdrawalRequest;id-1626254361540;1626254361544
bank-service;balance-service;withdrawalRequest;id-1626254361540;1626254361546
atm-terminal;terminal-proxy;checkBalance;id-1626254362127;1626254362127
terminal-proxy;bank-service;checkBalance;id-1626254362127;1626254362130
bank-service;balance-service;checkBalance;id-1626254362127;1626254362132
atm-terminal;terminal-proxy;authenticationRequest;id-1626254363713;1626254363713
terminal-proxy;bank-service;authenticationRequest;id-1626254363713;1626254363717
bank-service;auth-server;autenticationRequest;id-1626254363713;1626254363719
atm-terminal;terminal-proxy;printReceipt;id-1626254364436;1626254364436
terminal-proxy;bank-service;printReceipt;id-1626254364436;1626254364439
atm-terminal;terminal-proxy;authenticationRequest;id-1626254365559;1626254365559
terminal-proxy;bank-service;authenticationRequest;id-1626254365559;1626254365563
bank-service;auth-server;autenticationRequest;id-1626254365559;1626254365565
atm-terminal;terminal-proxy;depositRequest;id-1626254366719;1626254366719
terminal-proxy;bank-service;depositRequest;id-1626254366719;1626254366723
bank-service;balance-service;depositRequest;id-1626254366719;1626254366725
atm-terminal;terminal-proxy;depositRequest;id-1626254368320;1626254368320
terminal-proxy;bank-service;depositRequest;id-1626254368320;1626254368323
bank-service;balance-service;depositRequest;id-1626254368320;1626254368325
atm-terminal;terminal-proxy;depositRequest;id-1626254369586;1626254369586
terminal-proxy;bank-service;depositRequest;id-1626254369586;1626254369589
bank-service;balance-service;depositRequest;id-1626254369586;1626254369591
atm-terminal;terminal-proxy;authenticationRequest;id-1626254370552;1626254370552
terminal-proxy;bank-service;authenticationRequest;id-1626254370552;1626254370555
bank-service;auth-server;autenticationRequest;id-1626254370552;1626254370557
atm-terminal;terminal-proxy;checkBalance;id-1626254371122;1626254371122
terminal-proxy;bank-service;checkBalance;id-1626254371122;1626254371125
bank-service;balance-service;checkBalance;id-1626254371122;1626254371127
atm-terminal;terminal-proxy;printReceipt;id-1626254371870;1626254371870
terminal-proxy;bank-service;printReceipt;id-1626254371870;1626254371874
atm-terminal;terminal-proxy;authenticationRequest;id-1626254373055;1626254373055
terminal-proxy;bank-service;authenticationRequest;id-1626254373055;1626254373059
bank-service;auth-server;autenticationRequest;id-1626254373055;1626254373061
atm-terminal;terminal-proxy;checkBalance;id-1626254373487;1626254373487
terminal-proxy;bank-service;checkBalance;id-1626254373487;1626254373490
bank-service;balance-service;checkBalance;id-1626254373487;1626254373492
atm-terminal;terminal-proxy;depositRequest;id-1626254375195;1626254375195
terminal-proxy;bank-service;depositRequest;id-1626254375195;1626254375198
bank-service;balance-service;depositRequest;id-1626254375195;1626254375200
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254376066;1626254376066
terminal-proxy;bank-service;withdrawalRequest;id-1626254376066;1626254376077
bank-service;balance-service;withdrawalRequest;id-1626254376066;1626254376079
atm-terminal;terminal-proxy;checkBalance;id-1626254377021;1626254377021
terminal-proxy;bank-service;checkBalance;id-1626254377021;1626254377024
bank-service;balance-service;checkBalance;id-1626254377021;1626254377026
atm-terminal;terminal-proxy;printReceipt;id-1626254377434;1626254377434
terminal-proxy;bank-service;printReceipt;id-1626254377434;1626254377438
atm-terminal;terminal-proxy;authenticationRequest;id-1626254378432;1626254378432
terminal-proxy;bank-service;authenticationRequest;id-1626254378432;1626254378436
bank-service;auth-server;autenticationRequest;id-1626254378432;1626254378438
atm-terminal;terminal-proxy;printReceipt;id-1626254380103;1626254380103
terminal-proxy;bank-service;printReceipt;id-1626254380103;1626254380106
atm-terminal;terminal-proxy;authenticationRequest;id-1626254381558;1626254381558
terminal-proxy;bank-service;authenticationRequest;id-1626254381558;1626254381562
bank-service;auth-server;autenticationRequest;id-1626254381558;1626254381564
atm-terminal;terminal-proxy;depositRequest;id-1626254383237;1626254383237
terminal-proxy;bank-service;depositRequest;id-1626254383237;1626254383241
bank-service;balance-service;depositRequest;id-1626254383237;1626254383243
atm-terminal;terminal-proxy;checkBalance;id-1626254383680;1626254383680
terminal-proxy;bank-service;checkBalance;id-1626254383680;1626254383684
bank-service;balance-service;checkBalance;id-1626254383680;1626254383685
atm-terminal;terminal-proxy;authenticationRequest;id-1626254386453;1626254386453
terminal-proxy;bank-service;authenticationRequest;id-1626254386453;1626254386457
bank-service;auth-server;autenticationRequest;id-1626254386453;1626254386459
atm-terminal;terminal-proxy;depositRequest;id-1626254387382;1626254387382
terminal-proxy;bank-service;depositRequest;id-1626254387382;1626254387385
bank-service;balance-service;depositRequest;id-1626254387382;1626254387388
atm-terminal;terminal-proxy;checkBalance;id-1626254387867;1626254387867
terminal-proxy;bank-service;checkBalance;id-1626254387867;1626254387870
bank-service;balance-service;checkBalance;id-1626254387867;1626254387872
atm-terminal;terminal-proxy;printReceipt;id-1626254389143;1626254389143
terminal-proxy;bank-service;printReceipt;id-1626254389143;1626254389147
atm-terminal;terminal-proxy;depositRequest;id-1626254391530;1626254391530
terminal-proxy;bank-service;depositRequest;id-1626254391530;1626254391533
bank-service;balance-service;depositRequest;id-1626254391530;1626254391535
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254392655;1626254392655
terminal-proxy;bank-service;withdrawalRequest;id-1626254392655;1626254392659
bank-service;balance-service;withdrawalRequest;id-1626254392655;1626254392661
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254393713;1626254393713
terminal-proxy;bank-service;withdrawalRequest;id-1626254393713;1626254393716
bank-service;balance-service;withdrawalRequest;id-1626254393713;1626254393718
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254395028;1626254395028
terminal-proxy;bank-service;withdrawalRequest;id-1626254395028;1626254395033
bank-service;balance-service;withdrawalRequest;id-1626254395028;1626254395036
atm-terminal;terminal-proxy;depositRequest;id-1626254396550;1626254396550
terminal-proxy;bank-service;depositRequest;id-1626254396550;1626254396553
bank-service;balance-service;depositRequest;id-1626254396550;1626254396555
atm-terminal;terminal-proxy;authenticationRequest;id-1626254398151;1626254398151
terminal-proxy;bank-service;authenticationRequest;id-1626254398151;1626254398154
bank-service;auth-server;autenticationRequest;id-1626254398151;1626254398156
atm-terminal;terminal-proxy;checkBalance;id-1626254398606;1626254398606
terminal-proxy;bank-service;checkBalance;id-1626254398606;1626254398609
bank-service;balance-service;checkBalance;id-1626254398606;1626254398611
atm-terminal;terminal-proxy;depositRequest;id-1626254400253;1626254400253
terminal-proxy;bank-service;depositRequest;id-1626254400253;1626254400256
bank-service;balance-service;depositRequest;id-1626254400253;1626254400258
atm-terminal;terminal-proxy;authenticationRequest;id-1626254401339;1626254401339
terminal-proxy;bank-service;authenticationRequest;id-1626254401339;1626254401343
bank-service;auth-server;autenticationRequest;id-1626254401339;1626254401344
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254402677;1626254402677
terminal-proxy;bank-service;withdrawalRequest;id-1626254402677;1626254402680
bank-service;balance-service;withdrawalRequest;id-1626254402677;1626254402682
atm-terminal;terminal-proxy;authenticationRequest;id-1626254403653;1626254403653
terminal-proxy;bank-service;authenticationRequest;id-1626254403653;1626254403657
bank-service;auth-server;autenticationRequest;id-1626254403653;1626254403659
atm-terminal;terminal-proxy;checkBalance;id-1626254404024;1626254404024
terminal-proxy;bank-service;checkBalance;id-1626254404024;1626254404027
bank-service;balance-service;checkBalance;id-1626254404024;1626254404029
atm-terminal;terminal-proxy;depositRequest;id-1626254405822;1626254405822
terminal-proxy;bank-service;depositRequest;id-1626254405822;1626254405825
bank-service;balance-service;depositRequest;id-1626254405822;1626254405827
atm-terminal;terminal-proxy;authenticationRequest;id-1626254406887;1626254406887
terminal-proxy;bank-service;authenticationRequest;id-1626254406887;1626254406891
bank-service;auth-server;autenticationRequest;id-1626254406887;1626254406893
atm-terminal;terminal-proxy;printReceipt;id-1626254407628;1626254407628
terminal-proxy;bank-service;printReceipt;id-1626254407628;1626254407631
atm-terminal;terminal-proxy;depositRequest;id-1626254409092;1626254409092
terminal-proxy;bank-service;depositRequest;id-1626254409092;1626254409095
bank-service;balance-service;depositRequest;id-1626254409092;1626254409097
