"@timestamp",ApplicationName,"LS-Machine","LS-ProcessId","LS-ProcessName",MessageType,MetricName,"Tag_CommitStreamSequenceNumber","Tag_EventHandlerInstance","Tag_EventHandlerName","Tag_MC-AccountId","Tag_MC-CommitTime","Tag_MC-MessageOrigin","Tag_MC-SourceId","Tag_MC-TrackingId","Tag_MC-TrackingSource","Tag_NrOfCountQueries","Tag_NrOfCreateQueries","Tag_NrOfDeleteQueries","Tag_NrOfExistsQueries","Tag_NrOfMultipleSelectQueries","Tag_NrOfSingleSelectQueries","Tag_NrOfUpdateQueries","Tag_NrOfUpsertQueries","Tag_PackageName","Tag_PackageVersion","Tag_StreamTypeName","Tag_TenantDeploymentSlot","Tag_TenantKey","Tag_TenantName","Tag_Type",Value,"_id","_index","_score","_type"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,3,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",36,"eX-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"InputPakbon.InputPakbonProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,7,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",54,"jX-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"GbrtnsMtPlchldrs.GbrtnsMtPlchldrsProjector","Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,0,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",16,"an-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"PlayerOnbekendRollen.PlayerOnbekendRollenProjector","Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,0,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",17,"bH-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"PlayerOverigRollen.PlayerOverigRollenProjector","Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,0,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",17,"bn-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,VoorraadProjector,"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,0,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",18,"cH-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"Pakbon.PakbonProjector","Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,0,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",18,"cn-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"Gs.ViewProjector","Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,2,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",33,"dn-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,3,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",36,"eH-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.640",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"InputGbrtnsMtPlchldrs.InputGbrtnsMtPlchldrsProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.631Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,5,1,0,0,AfasNext,"1.0.0-dev","Magazijn.MagazijnProcessManager",UnmanagedDemo,AfasNext,AfasNext,"Magazijn.Sync_Event",41,"gX-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
