Column1,Column2,Column3,Column4,Column5,Column6
"Jun 1, 2021 @ 09:07:19.361",Event,BusinessActivityApi.BtwAfdrachtBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:19.360",Event,Reconciliation.bankmutatie_betalingProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.355",Event,Betaling.BetalingProcessRouter,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,Betaling.BetalingFreezeRequestedEvent
"Jun 1, 2021 @ 09:07:19.347",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSaveStateEvent
"Jun 1, 2021 @ 09:07:19.347",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSaveStateEvent
"Jun 1, 2021 @ 09:07:19.329",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,InkoopfactuurBetalingChain#BetalingRequestSucceededEvent
"Jun 1, 2021 @ 09:07:19.320",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSyncEvent
"Jun 1, 2021 @ 09:07:19.313",Event,BusinessActivityApi.DividenduitkeringBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:19.313",Event,Betaling.BetalingProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:19.313",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:19.312",Event,BusinessActivityApi.BtwAfdrachtBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:19.297",Event,UitgaandeBetalingAfletteren.UitgaandeBetalingAfletterenProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.297",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.297",Event,Reconciliation.bankmutatie_betalingProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.297",Event,BetaalopdrachtDC.BetaalopdrachtDCProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.297",Event,BetalingCollectDC.BetalingCollectDCProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.286",Event,Betaling.BetalingProcessRouter,1591c4f35bb34cd3afdde3764d371fe8,InputBetaling.InputBetalingProjector,Betaling.UpdateBetalingRequestedEvent
"Jun 1, 2021 @ 09:07:19.282",Event,InputBetaling.InputBetalingProjector,1591c4f35bb34cd3afdde3764d371fe8,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:19.282",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSyncEvent
"Jun 1, 2021 @ 09:07:19.282",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSaveStateEvent
"Jun 1, 2021 @ 09:07:19.272",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSyncEvent
"Jun 1, 2021 @ 09:07:19.272",Event,InputBetaling.InputBetalingProcessRouter,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,InputBetaling.InputBetalingUpdateRequestedEvent
"Jun 1, 2021 @ 09:07:19.272",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.InkoopfactuurDoneEvent
"Jun 1, 2021 @ 09:07:19.264",Event,Inkoopfactuur.InkoopfactuurProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.InkoopfactuurDoneEvent
"Jun 1, 2021 @ 09:07:19.251",Event,InputInkoopfactuur.InputInkoopfactuurProjector,1591c4f35bb34cd3afdde3764d371fe8,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurDiscardedEvent
"Jun 1, 2021 @ 09:07:19.240",Event,Inkoopfactuur.InkoopfactuurProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.InkoopfactuurUpdatedEvent
"Jun 1, 2021 @ 09:07:19.240",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.InkoopfactuurUpdatedEvent
"Jun 1, 2021 @ 09:07:19.240",Event,Dossier.DossierProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Dossier.NieuwDossier_Event
"Jun 1, 2021 @ 09:07:19.240",Event,Dossier.DossierProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Dossier.NieuwDossier_Event
"Jun 1, 2021 @ 09:07:19.239",Event,InputInkoopfactuur.InputInkoopfactuurProcessRouter,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,InputInkoopfactuur.DiscardInputInkoopfactuurRequestedEvent
